날짜,스트레스,집값
2018-04-11,19.10313,14.1704
2018-04-12,17.30941,17.57847
2018-04-13,14.34977,12.82511
2018-04-14,11.12107,13.36322
2018-04-15,16.32286,15.60538
2018-04-16,18.0269,18.38565
2018-04-17,18.83408,15.426
2018-04-18,19.01345,15.06726
2018-04-19,17.21973,18.56502
2018-04-20,16.95067,13.81165
2018-04-21,12.10762,10.9417
2018-04-22,13.81165,15.60538
2018-04-23,14.97757,13.72197
2018-04-24,15.15695,12.46636
2018-04-25,14.70852,11.21076
2018-04-26,14.43946,13.18385
2018-04-27,13.27354,13.45291
2018-04-28,11.30044,10.3139
2018-04-29,12.73542,9.23766
2018-04-30,16.14349,13.00448
2018-05-01,15.51569,10.13452
2018-05-02,16.32286,13.09417
2018-05-03,17.48878,11.92825
2018-05-04,14.7982,9.86547
2018-05-05,10.40358,8.43049
2018-05-06,9.50672,7.35426
2018-05-07,12.55605,9.23766
2018-05-08,15.24663,9.59641
2018-05-09,15.33632,12.1973
2018-05-10,14.7982,11.83856
2018-05-11,16.68161,10.04484
2018-05-12,11.74887,8.52017
2018-05-13,11.03139,9.86547
2018-05-14,17.75784,12.10762
2018-05-15,16.50224,10.85201
2018-05-16,17.13004,10.3139
2018-05-17,14.61883,9.68609
2018-05-18,13.99103,8.60986
2018-05-19,12.1973,9.05829
2018-05-20,11.21076,9.50672
2018-05-21,12.91479,11.03139
2018-05-22,15.15695,11.83856
2018-05-23,16.32286,12.01793
2018-05-24,17.48878,13.36322
2018-05-25,15.60538,10.49327
2018-05-26,10.9417,11.47982
2018-05-27,11.12107,9.05829
2018-05-28,17.84753,11.65919
2018-05-29,16.7713,11.03139
2018-05-30,16.86098,10.40358
2018-05-31,17.3991,11.92825
2018-06-01,16.05381,12.01793
2018-06-02,10.85201,11.5695
2018-06-03,11.47982,11.83856
2018-06-04,16.14349,12.37668
2018-06-05,15.51569,9.86547
2018-06-06,12.91479,8.87892
2018-06-07,17.93721,12.55605
2018-06-08,14.34977,8.16143
2018-06-09,12.82511,9.14798
2018-06-10,13.5426,9.86547
2018-06-11,15.426,9.59641
2018-06-12,15.15695,10.40358
2018-06-13,14.08071,10.13452
2018-06-14,16.14349,14.97757
2018-06-15,15.96412,10.58295
2018-06-16,11.21076,9.95515
2018-06-17,14.61883,10.3139
2018-06-18,16.95067,15.33632
2018-06-19,16.50224,11.30044
2018-06-20,17.13004,10.9417
2018-06-21,17.66816,11.30044
2018-06-22,17.66816,11.12107
2018-06-23,11.65919,9.32735
2018-06-24,12.82511,10.49327
2018-06-25,15.24663,12.82511
2018-06-26,19.01345,9.86547
2018-06-27,17.30941,10.9417
2018-06-28,18.47533,11.39013
2018-06-29,16.41255,10.85201
2018-06-30,10.9417,8.16143
2018-07-01,11.39013,7.35426
2018-07-02,16.14349,10.49327
2018-07-03,13.90134,10.22421
2018-07-04,14.7982,12.10762
2018-07-05,15.96412,14.61883
2018-07-06,14.88789,9.86547
2018-07-07,10.04484,7.0852
2018-07-08,13.72197,9.14798
2018-07-09,15.69506,10.9417
2018-07-10,18.0269,9.32735
2018-07-11,15.15695,9.77578
2018-07-12,18.6547,13.36322
2018-07-13,12.73542,12.64573
2018-07-14,12.28699,8.52017
2018-07-15,11.21076,10.58295
2018-07-16,13.5426,10.85201
2018-07-17,13.09417,10.9417
2018-07-18,15.15695,10.49327
2018-07-19,13.27354,12.73542
2018-07-20,14.61883,10.76233
2018-07-21,9.50672,8.60986
2018-07-22,10.04484,10.9417
2018-07-23,14.08071,15.15695
2018-07-24,13.5426,11.92825
2018-07-25,13.63228,10.67264
2018-07-26,13.81165,12.82511
2018-07-27,13.5426,12.01793
2018-07-28,9.41704,8.60986
2018-07-29,9.95515,11.12107
2018-07-30,13.27354,9.95515
2018-07-31,10.9417,11.83856
2018-08-01,12.28699,11.65919
2018-08-02,12.01793,13.09417
2018-08-03,11.03139,12.10762
2018-08-04,9.41704,9.59641
2018-08-05,12.55605,11.12107
2018-08-06,15.06726,17.66816
2018-08-07,17.84753,15.69506
2018-08-08,13.27354,15.24663
2018-08-09,15.78475,17.57847
2018-08-10,12.82511,17.75784
2018-08-11,10.13452,12.91479
2018-08-12,9.95515,13.00448
2018-08-13,15.24663,21.43497
2018-08-14,16.32286,17.30941
2018-08-15,11.65919,15.24663
2018-08-16,13.18385,23.22869
2018-08-17,12.82511,23.04932
2018-08-18,10.22421,19.73094
2018-08-19,12.1973,24.66367
2018-08-20,15.24663,37.66816
2018-08-21,15.78475,34.26008
2018-08-22,15.87443,33.27354
2018-08-23,13.18385,26.27802
2018-08-24,13.99103,39.64125
2018-08-25,13.09417,32.37668
2018-08-26,11.5695,29.86547
2018-08-27,15.24663,37.75784
2018-08-28,16.41255,30.85201
2018-08-29,15.69506,30.67264
2018-08-30,18.47533,32.55605
2018-08-31,14.08071,31.03139
2018-09-01,12.01793,30.58295
2018-09-02,11.03139,30.85201
2018-09-03,15.60538,34.08071
2018-09-04,16.41255,32.10762
2018-09-05,17.3991,52.73542
2018-09-06,16.7713,48.69955
2018-09-07,15.51569,42.95964
2018-09-08,8.9686,34.70852
2018-09-09,12.55605,33.27354
2018-09-10,17.13004,44.93273
2018-09-11,14.97757,43.04932
2018-09-12,16.32286,35.87443
2018-09-13,15.24663,36.14349
2018-09-14,16.05381,33.45291
2018-09-15,9.59641,23.76681
2018-09-16,12.01793,21.70403
2018-09-17,16.50224,30.40358
2018-09-18,17.75784,30.04484
2018-09-19,16.14349,25.1121
2018-09-20,14.7982,24.66367
2018-09-21,16.05381,26.54708
2018-09-22,10.40358,15.51569
2018-09-23,9.23766,14.97757
2018-09-24,7.80269,14.52914
2018-09-25,7.713,16.59192
2018-09-26,14.43946,19.19282
2018-09-27,15.60538,28.52017
2018-09-28,14.26008,22.95964
2018-09-29,10.85201,21.2556
2018-09-30,14.08071,19.73094
2018-10-01,14.52914,27.98206
2018-10-02,13.00448,27.89237
2018-10-03,13.27354,22.78026
2018-10-04,15.24663,23.49775
